Symbol,Name,IPOyear,Sector,Industry
PIH,"1347 Property Insurance Holdings, Inc.",2014,Finance,Property-Casualty Insurers
TURN,180 Degree Capital Corp.,n/a,Finance,Finance/Investors Services
FLWS,"1-800 FLOWERS.COM, Inc.",1999,Consumer Services,Other Specialty Stores
FCCY,1st Constitution Bancorp (NJ),n/a,Finance,Savings Institutions
SRCE,1st Source Corporation,n/a,Finance,Major Banks
VNET,"21Vianet Group, Inc.",2011,Technology,"Computer Software: Programming, Data Processing"
TWOU,"2U, Inc.",2014,Technology,Computer Software: Prepackaged Software
JOBS,"51job, Inc.",2004,Technology,Diversified Commercial Services
CAFD,8point3 Energy Partners LP,2015,Public Utilities,Electric Utilities: Central
EGHT,8x8 Inc,n/a,Public Utilities,Telecommunications Equipment
AVHI,"A V Homes, Inc.",n/a,Capital Goods,Homebuilding
SHLM,"A. Schulman, Inc.",1972,Basic Industries,Major Chemicals
AAON,"AAON, Inc.",n/a,Capital Goods,Industrial Machinery/Components
ABAX,"ABAXIS, Inc.",1992,Capital Goods,Industrial Machinery/Components
ABEO,Abeona Therapeutics Inc.,n/a,Health Care,Major Pharmaceuticals
ABEOW,Abeona Therapeutics Inc.,n/a,Health Care,Major Pharmaceuticals
ABIL,Ability Inc.,2014,Finance,Business Services
ABMD,"ABIOMED, Inc.",n/a,Health Care,Medical/Dental Instruments
AXAS,Abraxas Petroleum Corporation,n/a,Energy,Oil & Gas Production
ACIU,AC Immune SA,2016,Health Care,Major Pharmaceuticals
ACIA,"Acacia Communications, Inc.",2016,Technology,Semiconductors
ACTG,Acacia Research Corporation,n/a,Miscellaneous,Multi-Sector Companies
ACHC,"Acadia Healthcare Company, Inc.",n/a,Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,2004,Health Care,Major Pharmaceuticals
ACST,"Acasti Pharma, Inc.",n/a,Health Care,Major Pharmaceuticals
AXDX,"Accelerate Diagnostics, Inc.",n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments
ACCP,"Accelerated Pharma, Inc.",n/a,n/a,n/a
ACCPW,"Accelerated Pharma, Inc.",n/a,n/a,n/a
XLRN,Acceleron Pharma Inc.,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ANCX,Access National Corporation,n/a,Finance,Savings Institutions
ARAY,Accuray Incorporated,2007,Health Care,Medical/Dental Instruments
ACRX,"AcelRx Pharmaceuticals, Inc.",2011,Health Care,Major Pharmaceuticals
ACET,Aceto Corporation,n/a,Health Care,Other Pharmaceuticals
AKAO,"Achaogen, Inc.",2014,Health Care,Major Pharmaceuticals
ACHN,"Achillion Pharmaceuticals, Inc.",2006,Health Care,Major Pharmaceuticals
ACIW,"ACI Worldwide, Inc.",n/a,Technology,Computer Software: Prepackaged Software
ACRS,"Aclaris Therapeutics, Inc.",2015,Health Care,Major Pharmaceuticals
ACNB,ACNB Corporation,n/a,Finance,Major Banks
ACOR,"Acorda Therapeutics, Inc.",2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SQZZ,Active Alts Contrarian ETF,n/a,n/a,n/a
ATVI,"Activision Blizzard, Inc",n/a,Technology,Computer Software: Prepackaged Software
ACTA,Actua Corporation,n/a,Technology,EDP Services
ACXM,Acxiom Corporation,n/a,Technology,EDP Services
ADMS,"Adamas Pharmaceuticals, Inc.",2014,Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,n/a,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADUS,Addus HomeCare Corporation,2009,Health Care,Medical/Nursing Services
AEY,"ADDvantage Technologies Group, Inc.",n/a,Consumer Services,Office Equipment/Supplies/Services
IOTS,Adesto Technologies Corporation,2015,Technology,Semiconductors
ADMA,ADMA Biologics Inc,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Systems Incorporated,1986,Technology,Computer Software: Prepackaged Software
ADOM,"ADOMANI, Inc.",2017,Capital Goods,Auto Parts:O.E.M.
ADTN,"ADTRAN, Inc.",1994,Public Utilities,Telecommunications Equipment
ADRO,"Aduro Biotech, Inc.",2015,Health Care,Major Pharmaceuticals
AAAP,Advanced Accelerator Applications S.A.,2015,Health Care,Major Pharmaceuticals
ADES,"Advanced Emissions Solutions, Inc.",n/a,Basic Industries,Major Chemicals
AEIS,"Advanced Energy Industries, Inc.",1995,Capital Goods,Industrial Machinery/Components
AMD,"Advanced Micro Devices, Inc.",n/a,Technology,Semiconductors
ADXS,"Advaxis, Inc.",n/a,Health Care,Major Pharmaceuticals
ADXSW,"Advaxis, Inc.",n/a,Health Care,Major Pharmaceuticals
ADVM,"Adverum Biotechnologies, Inc.",2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AEGN,Aegion Corp,n/a,Basic Industries,Water Supply
AGLE,"Aeglea BioTherapeutics, Inc.",2016,Health Care,Major Pharmaceuticals
AEHR,Aehr Test Systems,1997,Capital Goods,Electrical Products
AMTX,"Aemetis, Inc",n/a,Basic Industries,Major Chemicals
